data,valor
2002-01,77.7
2002-02,80.2
2002-03,79.8
2002-04,79.6
2002-05,79.1
2002-06,79.4
2002-07,79.7
2002-08,78.6
2002-09,79.7
2002-10,80.2
2002-11,80.2
2002-12,79.6
2003-01,79.7
2003-02,79.7
2003-03,79.8
2003-04,79.4
2003-05,77.8
2003-06,78.2
2003-07,77.4
2003-08,78.5
2003-09,81.3
2003-10,81.6
2003-11,82.6
2003-12,81.2
2004-01,82.7
2004-02,84.0
2004-03,84.5
2004-04,85.1
2004-05,85.9
2004-06,86.1
2004-07,86.7
2004-08,87.6
2004-09,88.2
2004-10,87.5
2004-11,87.5
2004-12,88.3
2005-01,88.7
2005-02,87.3
2005-03,88.2
2005-04,88.3
2005-05,91.3
2005-06,89.5
2005-07,88.9
2005-08,89.1
2005-09,88.3
2005-10,87.6
2005-11,88.6
2005-12,90.5
2006-01,90.8
2006-02,91.4
2006-03,90.7
2006-04,91.4
2006-05,92.2
2006-06,90.6
2006-07,91.6
2006-08,91.4
2006-09,90.4
2006-10,90.8
2006-11,92.1
2006-12,93.3
2007-01,92.7
2007-02,93.9
2007-03,94.9
2007-04,96.0
2007-05,96.3
2007-06,97.0
2007-07,96.5
2007-08,97.9
2007-09,97.2
2007-10,99.5
2007-11,98.5
2007-12,98.9
2008-01,100.6
2008-02,100.2
2008-03,100.5
2008-04,100.4
2008-05,101.1
2008-06,102.9
2008-07,103.2
2008-08,101.9
2008-09,103.4
2008-10,100.1
2008-11,94.4
2008-12,83.8
2009-01,85.6
2009-02,87.6
2009-03,88.0
2009-04,89.0
2009-05,90.3
2009-06,91.6
2009-07,92.6
2009-08,94.0
2009-09,95.6
2009-10,97.3
2009-11,98.9
2009-12,99.1
2010-01,100.7
2010-02,100.5
2010-03,103.0
2010-04,103.2
2010-05,103.0
2010-06,102.3
2010-07,101.8
2010-08,101.4
2010-09,101.6
2010-10,101.3
2010-11,102.2
2010-12,102.6
2011-01,102.8
2011-02,104.2
2011-03,104.8
2011-04,102.1
2011-05,105.2
2011-06,102.7
2011-07,103.1
2011-08,102.1
2011-09,100.2
2011-10,99.2
2011-11,99.9
2011-12,102.5
2012-01,98.0
2012-02,99.0
2012-03,98.3
2012-04,98.5
2012-05,98.9
2012-06,99.0
2012-07,100.5
2012-08,102.5
2012-09,100.6
2012-10,102.1
2012-11,100.6
2012-12,101.3
2013-01,102.1
2013-02,99.7
2013-03,101.2
2013-04,103.0
2013-05,102.5
2013-06,103.2
2013-07,102.4
2013-08,102.9
2013-09,103.5
2013-10,102.4
2013-11,103.0
2013-12,99.0
2014-01,100.6
2014-02,101.2
2014-03,101.0
2014-04,100.2
2014-05,98.8
2014-06,96.1
2014-07,98.3
2014-08,99.2
2014-09,99.4
2014-10,99.6
2014-11,98.6
2014-12,95.4
2015-01,96.0
2015-02,95.4
2015-03,95.0
2015-04,93.0
2015-05,92.2
2015-06,91.3
2015-07,89.5
2015-08,90.3
2015-09,88.2
2015-10,88.1
2015-11,86.4
2015-12,84.8
2016-01,86.1
2016-02,84.8
2016-03,85.6
2016-04,85.4
2016-05,85.8
2016-06,84.8
2016-07,85.5
2016-08,83.5
2016-09,84.4
2016-10,83.3
2016-11,84.0
2016-12,85.5
2017-01,86.4
2017-02,87.4
2017-03,85.6
2017-04,85.9
2017-05,86.2
2017-06,87.0
2017-07,87.3
2017-08,87.0
2017-09,87.4
2017-10,88.0
2017-11,88.4
2017-12,91.3
2018-01,88.9
2018-02,88.6
2018-03,89.7
2018-04,90.1
2018-05,80.2
2018-06,90.3
2018-07,90.1
2018-08,88.9
2018-09,86.5
2018-10,87.5
2018-11,87.5
2018-12,87.8
2019-01,86.9
2019-02,87.4
2019-03,87.2
2019-04,87.5
2019-05,87.4
2019-06,86.6
2019-07,86.0
2019-08,87.0
2019-09,86.9
2019-10,88.6
2019-11,86.8
2019-12,85.8
2020-01,86.6
2020-02,87.5
2020-03,80.7
2020-04,64.9
2020-05,70.1
2020-06,76.8
2020-07,83.9
2020-08,86.3
2020-09,88.6
2020-10,89.6
2020-11,90.0
2020-12,90.3
2021-01,90.7
2021-02,89.7
2021-03,87.5
2021-04,86.1
2021-05,87.1
2021-06,86.7
2021-07,85.4
2021-08,85.0
2021-09,84.6
2021-10,84.1
2021-11,84.1
2021-12,86.5
2022-01,84.4

